SALON,Address,City,ST,Zip,DSC,Six Month Sale
ELEVATION SALON,3617 N MERIDIAN ,OKLAHOMA CITY,OK,73112,Michael,5026.38
ELIO,7108 N WESTERN AVE,OKLAHOMA CITY,OK,73116,Pam,1618.89
ELIZABETH HARGER,1806 W MAIN,ENID,OK,73703,Michael,951.39
ELLE SALON,1014 NW 150TH,EDMOND,OK,73013,Michael,2478.88
ELLEN BENNITT,PO BOX 478,PIEDMONT,OK,73078,Pam,78.32
EMBELLISH,6602 N WESTERN,OKLAHOMA CITY,OK,73116,Pam,9474.84
EMILY'S SALON,708 W 15TH ST ,EDMOND,OK,73013,Michael,55
EN VOGUE SALON & SPA,10600 S PENNSYLVANIA AVE ,OKLAHOMA CITY,OK,73170,Vicki,7732.05
ENCORE SALON,9618 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,61.86
END ZONE,315 TYLER,BLANCHARD,OK,73010,Vicki,235.97
EPOCH ENTERPRISES(SUPERCUTS),2010 W ANKLAM ,TUSCON,OK,85745,Pam,0
EPWORTH VILLA,14900 N PENN,OKLAHOMA CITY,OK,73120,Pam,44.54
ESTETICA,1512 SW 29TH,OKLAHOMA CITY,OK,73119,Pam,4756.09
ESTETICA BUENO IMPRESSION,2822 S AGNEW,OKLAHOMA CITY,OK,73108,Pam,134.99
ESTETICA DIAZ,2904 S MAY,OKLAHOMA CITY,OK,73119,Pam,4.4
ESTETICA ELISA,4901 NW 23RD,OKLAHOMA CITY,OK,73127,Pam,95.95
ESTETICA EN-MI CASA,1500 SW 30TH,OKLAHOMA CITY,OK,73119,Pam,41.73
ESTETICA FAMILIAR UNISEX,4401 S PENN,OKLAHOMA CITY,OK,73119,Pam,1912.21
ESTETICA GAILILEA,1139 SW 59TH,OKLAHOMA CITY,OK,73159,Pam,0
ESTETICA GALILEA #1,525 SW 29TH ST,OKLAHOMA CITY,OK,73109,Pam,44.96
ESTETICA IRMA'S,3225 S WESTERN,OKLAHOMA CITY,OK,73109,Pam,1207.1
ESTETICA NATILIE,1308 SW 36TH,OKLAHOMA CITY,OK,73129,Pam,1106.75
ESTETICA PALMAS,4221 S AGNEW,OKLAHOMA CITY,OK,73119,Pam,959.16
ESTETICA PASSION,4200 S MAY AVE ,OKLAHOMA CITY,OK,73119,Pam,0
ESTETICA REINA,3225 S WESTERN,OKLAHOMA CITY,OK,73109,Pam,34.04
ESTETICA TAURU'S,928 SW 59TH,OKLAHOMA CITY,OK,73109,Pam,546.19
ESTETICA YOLY'S,206 SW 44TH ST,OKLAHOMA CITY,OK,73109,Pam,0
EVE'S & LULU D'S,610 S KELLY AVE ,EDMOND,OK,73003,Michael,22164.95
EVOLUTION SALON,2144 W BRITTON RD,OKLAHOMA CITY,OK,73120,Pam,519.91
EXCLAMATIONS,604 N VAN BUREN,ENID,OK,73703,Michael,0
EXCLUSIVE SHEARS,925 W BRITTON RD,OKLAHOMA CITY,OK,73114,Pam,0
EXCLUSIVELY SHIRLEY'S,3620 N MERIDIAN,OKLAHOMA CITY,OK,73112,Michael,0
EXPRESSIONS,309 E WASHINGTON,CRESCENT,OK,73028,Michael,271.52
EXPRESSIONS GIFT SHOP-ATTITUDES SALO,1725 N KICKAPOO AVE,SHAWNEE,OK,74804,Vicki,89.7
EXPRESSWAY SALON,2525 NW EXPRESSWAY,OKLAHOMA CITY,OK,73112,Michael,826.21
EXTREME HAIR,739 SW 89TH,OKLAHOMA CITY,OK,73139,Vicki,12.09
FACES AND MORE,12054 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,410.07
FAMILY CUTS,3119 N PENN,OKLAHOMA CITY,OK,73112,Michael,173.86
FANCY NAIL & HAIR,5604 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,65.58
FANCY NAILS,12318 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,0
FANCY NAILS,3410 S BROADWAY,EDMOND,OK,73013,Michael,0
FANTASTIC 5,4707 OWEN K GARRIOTT,ENID,OK,73703,Michael,562.93
FANTASTIC DESIGNS,204 N 7TH,KINGFISHER,OK,73750,Michael,325.32
FASHION HAIR STUDIO,2345 SW 30TH ST,OKLAHOMA CITY,OK,73119,Pam,209.45
FELICITY SALON,7814 NW 94TH,OKLAHOMA CITY,OK,73162,Michael,866.62
FINAL CUT,6700 N CLASSEN BLVD,OKLAHOMA CITY,OK,73116,Michael,10414.35
FINESSE AT ECLIPSE SALON,267 34TH AVE SW,NORMAN,OK,73072,Vicki,405.43
FINGER PAINTS NAIL SAL,9212 N ROCKWELL ,OKLAHOMA CITY,OK,73132,Pam,197.64
FINISHING TOUCH,736 NW 92ND,OKLAHOMA CITY,OK,73114,Pam,86.78
FIRESIDE WELLNESS,610 S CLEVELAND  ,ENID,OK,73703,Michael,43.32
FIXATIONS,1120 N DUCK,STILLWATER,OK,74076,Michael,6977.3
FLORYS BEAUTY CENTER,3317 NW 23RD ST,OKLAHOMA CITY,OK,73107,Michael,1458.7
FLUX SALON,1 NE 2ND ST ,OKLAHOMA CITY,OK,73104,Vicki,0
FORGUE DESIGN GROUP,1107 NW 41ST ST,OKLAHOMA CITY,OK,73118,Pam,1461.21
FRANCIS BEAUTY SALON,121 N DIVISION,GUTHRIE,OK,73044,Michael,0
FRANCIS TUTTLE VO-TECH,12777 N ROCKWELL,OKLAHOMA CITY,OK,73142,Pam,9579.6
FRANCIS TUTTLE VO-TECH,7301 W RENO AVENUE,OKLAHOMA CITY,OK,73142,Pam,3376.89
FRIENDZ,2230 W WILLOW,ENID,OK,73703,Michael,1295.5
FRINGE SALON,3414 NW CACHE RD ,LAWTON,OK,73505,Vicki,1670.68
FRINGE SALON,5370 NW CACHE RD ,LAWTON,OK,73505,Vicki,460.03
FX SALON,6909 W HEFNER RD ,OKLAHOMA CITY,OK,73132,Pam,3364.68
GAME TIME CUTS,510 W 6TH ST,STILLWATER,OK,74074,Michael,815.35
GENERATIONS,8906 S WESTERN AVE,OKLAHOMA CITY,OK,73139,Vicki,0
GENESIS,211 N PERKINS ,STILLWATER,OK,74075,Michael,669.43
GET GLOWING,501 S MUSTANG RD ,YUKON,OK,73099,Pam,286.92
GEVONKAY'S HAIR FASHIO,902 W BRITTON RD,OKLAHOMA CITY,OK,73114,Pam,20.91
GI HAIR SALON,5529 SE 15TH ,DEL CITY,OK,73115,Vicki,150.37
GIGI'S SALON,7901 NE 10TH ,MIDWEST CITY,OK,73110,Vicki,21.5
GLAMOUR BEAUTY SALON,5811 S WESTERN,OKLAHOMA CITY,OK,73159,Pam,250.84
GLEN & MEL'S HAIR FASH,10709 S WINSTON WAY,OKLAHOMA CITY,OK,73170,Vicki,164.72
GLENDA'S,45 AUTUMN DRIVE,LAWTON,OK,73507,Vicki,172.39
GLO HAIR SALON,2302 N PERKINS RD,STILLWATER,OK,74075,Michael,2372.09
GLOW SALON,1212 S FERRY,NORMAN,OK,73072,Vicki,2083.32
GOLDEN AGE NURSING HOM,419 E OKLAHOMA,GUTHRIE,OK,73044,Michael,24.22
GRAPEVINE SPA,11032 QUAIL CREEK ,OKLAHOMA CITY,OK,73120,Pam,110.55
GREAT EXPECTATIONS,1502 S JENSEN,EL RENO,OK,73036,Pam,6.04
GREAT LOOKS,10708 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,0
GREENBRIER BEAUTY SHOP,1329 GANNON,ENID,OK,73703,Michael,0
GUINN'S SALON,4517 N WESTERN AVE,OKLAHOMA CITY,OK,73118,Pam,1498.69
HAIR & COLOR SPECIALIST,8950 S WESTERN AVE,OKLAHOMA CITY,OK,73139,Vicki,37.64
HAIR & NAIL STUDIO,1530 S CHOCTAW RD,CHOCTAW,OK,73020,Vicki,0
HAIR BIZ,115 E VANDEMENT,YUKON,OK,73099,Pam,0
HAIR BY ANDREA,1201 SUNSET,ENID,OK,73703,Michael,0
HAIR BY BRYNDA,RT 1 BOX 146,COVINGTON,OK,73730,Michael,92.77
HAIR CENTRAL,300 N BROADWAY,MOORE,OK,73160,Vicki,17.04
HAIR CLUB,5100 N BROOKLINE AVE ,OKLAHOMA CITY,OK,73112,Pam,0
HAIR CONNECTION,315 W ELM,EL RENO,OK,73036,Pam,659.9
HAIR CUTS & CURLS,103 S 7TH,PERRY,OK,73077,Michael,709.42
HAIR ESSENTIALS,7901 NE 10TH SUITE ,MIDWEST CITY,OK,73110,Vicki,0
HAIR EXPRESSIONS,927 S CORNWELL,YUKON,OK,73099,Pam,1167.61
HAIR EXTRAVAGANZA,113 W PAUL ST,PAULS VALLEY,OK,73075,Vicki,376.16
HAIR FANATICS,7831 NW 94TH,OKLAHOMA CITY,OK,73162,Michael,45.23
HAIR FROM THE HEART,7051 E RENO AVE,MIDWEST CITY,OK,73110,Vicki,321.15
HAIR HOUSE,200 S RANCHWOOD ,YUKON,OK,73099,Pam,231.02
HAIR I AM,6825 N BROADWAY,EDMOND,OK,73034,Michael,2228.48
HAIR INSIGHTS,126C W MAIN,YUKON,OK,73099,Pam,89.08
HAIR JAMMERS,119 W ADMIRE ST,KINGFISHER,OK,73750,Michael,0
HAIR LOUNGE BY MIRANDA,9419 N MAY,OKLAHOMA CITY,OK,73120,Pam,1567.45
HAIR MOJO SALON,1200-A N BROADWAY,ADA,OK,74820,Vicki,7543.16
HAIR NATURALLY,616 CEDAR ST,PERRY,OK,73077,Michael,1154.98
HAIR ODYSSEY,4700 N MACARTHUR ,WARR ACRES,OK,73122,Michael,193.01
HAIR PORT,6122 E RENO,MIDWEST CITY,OK,73110,Vicki,1937.95
HAIR RAGE,8946 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,982.23
HAIR RAGE 2,904 NE 23RD ST,OKLAHOMA CITY,OK,73106,Michael,365.09
HAIR RAGE 4,520 W I-240 SERVICE RD,OKLAHOMA CITY,OK,73139,Vicki,747.15
HAIR RAGE III,521 N TELEPHONE RD,MOORE,OK,73160,Vicki,727.14
HAIR RAGE SALON V,1115 S SOONER RD,MIDWEST CITY,OK,73110,Vicki,187.42
HAIR RAGE VI,4401 W MEMORIAL RD ,OKLAHOMA CITY,OK,73134,Michael,248.98
HAIR RAGE VI,4401 W MEMORIAL RD ,OKLAHOMA CITY,OK,73134,Pam,2283.58
HAIR RAZOR DESIGNS,1940 NW 164TH,EDMOND,OK,73013,Pam,1238.14
HAIR RAZZORS,229 E TRADE CENTER,MUSTANG,OK,73064,Pam,1339.41
HAIR SALON,2800 NW 63RD ST ,OKLAHOMA CITY,OK,73116,Pam,0
HAIR SALOON,6639 NW 36TH,BETHANY,OK,73008,Michael,795.7
HAIR SMITH'S,205 N MAIN,BLANCHARD,OK,73010,Vicki,219.9
HAIR SOLUTIONS,3321 SOUTH BLVD,EDMOND,OK,73013,Michael,1584.86
HAIR SPA,2100 S TRIPLEX,CHOCTAW,OK,73020,Vicki,240.24
HAIR STRATEGY,315 E BROADWAY,ALTUS,OK,73521,Vicki,0
HAIR TAKERS,7019 SE 15TH,MIDWEST CITY,OK,73110,Vicki,0
HAIR TALK & TAN,103 AMBERWOOD CT,MCLOUD,OK,74851,Vicki,0
HAIR TECH INC,2220 SW 74TH ST,OKLAHOMA CITY,OK,73159,Vicki,0
HAIR UNLIMITED,3426 S BLVD,EDMOND,OK,73013,Michael,1258.57
HAIR WE ARE,1000 N EASTERN,MOORE,OK,73160,Vicki,631.33
HAIRITAGE STYLE STOP,118 W OKLAHOMA,GUTHRIE,OK,73044,Michael,83.52
HAIRTIQUES,118 W RANDOLPH,ENID,OK,73701,Michael,7883.54
HAIRWAY TO HEAVEN,605 S MAIN ST,ELK CITY,OK,73644,Pam,120.92
HAIRY SITUATIONS,1419 E WRANGLER,SEMINOLE,OK,74868,Vicki,929.44
HAIRY'S,2106 S 29TH ST,CHICKASHA,OK,73018,Vicki,0
HAND CARVED HAIR,624 E OKLAHOMA,GUTHRIE,OK,73044,Michael,802.66
HAPPY CUTS,6709 NW 23RD ST,BETHANY,OK,73008,Michael,1294.68
HAPPY HAIR DESIGN,2216 SW 59TH ST,OKLAHOMA CITY,OK,73119,Pam,0
HEAD HUNTERS,12302 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,6077.27
HEADS UP,110 SUNSET PLAZA,ENID,OK,73703,Michael,708.48
HEADS UP STYLE SHOP,501 NE 12TH ST,MOORE,OK,73160,Vicki,184.28
HEADS WEST,9212 N ROCKWELL S,OKLAHOMA CITY,OK,73132,Pam,0
HEARTQUEST,1216 W WILLOW RD ,ENID,OK,73703,Michael,2211.86
HEATHER'S,1011 N BROADWAY ST,TECUMSEH,OK,74873,Vicki,0
HELLO GORGEOUS,1116 N SPURGEON,ALTUS,OK,73521,Vicki,384.45
HELLO GORGEOUS,14911 CR 3544,ADA,OK,74820,Vicki,470.88
HELLO GORGEOUS,219 S WASHINGTON,STILLWATER,OK,74074,Michael,3560.06
HERITAGE COLLEGE,7111 S I-35 SERVICE RD ,OKLAHOMA CITY,OK,73149,Vicki,30.14
HIGH MAINTENANCE,408 N TELEPHONE RD,MOORE,OK,73160,Vicki,1039.89
HI-LIGHT,414 S GREEN,PURCELL,OK,73180,Vicki,0
HI-LIGHTS ACADEMY,7801 NW 94TH ST,OKLAHOMA CITY,OK,73162,Michael,0
HI-LIGHTS STUDIO SALON,9418 N COUNCIL RD,OKLAHOMA CITY,OK,73162,Michael,492.09
HOLLYWOOD COSMETOLOGY CENTER,1708 W LINDSEY,NORMAN,OK,73069,Vicki,0
HOLLYWOOD GLAM SALON,1200 12TH AVE ,NORMAN,OK,73071,Vicki,403.51
HOLLYWOOD HI-LITES,1620 SW 89TH ,OKLAHOMA CITY,OK,73159,Vicki,0
HOT HEADS,12130 W RENO,OKLAHOMA CITY,OK,73085,Pam,2356.22
HOT HEADS,9224 S SHIELDS,OKLAHOMA CITY,OK,73160,Vicki,498.57
HOT HEADS HAIR DESIGN,7101 NW EXPRESSWAY ,OKLAHOMA CITY,OK,73132,Michael,205.33
HOT TOOLS SALON,215 S PERKINS RD,STILLWATER,OK,74074,Michael,2092.59
HOUSE OF BEAUTY,1905 SEQHOYAH LANE,NEWCASTLE,OK,73065,Vicki,0
HOW DO YOU WANT IT,1617 SW 39TH ST,OKLAHOMA CITY,OK,73119,Pam,620.87
IHLOFF SALON-BROOKHAVEN VILLAGE,3720 W ROBINSON ST ,NORMAN,OK,73072,Vicki,1216
ILLUSIONS SALON,807 OVERLAND TRAIL,ENID,OK,73703,Michael,0
IMAGE SALON,1618 E HWY 152,MUSTANG,OK,73064,Pam,1914
IMAGEQUEST SPA & SALON,722 E INDEPENDENCE,SHAWNEE,OK,74804,Vicki,0
IMAGES,161 SE 15TH,EDMOND,OK,73013,Michael,91.64
IMAGES,220 N MAIN,KINGFISHER,OK,73750,Michael,22.55
IMAGES BY JUDY,2519 SW 59TH ST,OKLAHOMA CITY,OK,73119,Pam,0
IMAGES SALON,161 W 15TH,EDMOND,OK,73013,Michael,0
IMAGINE PAUL MITCHELL PARTNER SCHOOL,3030 WILLIAM PEREIRA DRIVE,NORMAN,OK,73072,Vicki,32544.69
IMAGINE YOURSELF SALON,3608 NW 50TH,OKLAHOMA CITY,OK,73112,Pam,0
IMPRESSIONS,232 B EAST LAHOMA RD,LAHOMA,OK,73754,Michael,0
IMPULSE SALON,12120 WARWICK ,OKLAHOMA CITY,OK,73162,Pam,7320.37
IN STYLE 2,2837 SW 44TH STE ,OKLAHOMA CITY,OK,73119,Pam,296.05
INCREDIBLE CUTS,250 N MUSTANG RD,MUSTANG,OK,73064,Pam,937.73
INDULGE,520 S LOWRY,STILLWATER,OK,74075,Michael,8280.81
INDULGE SALON,12325 N MAY ,OKLAHOMA CITY,OK,73120,Pam,1219.08
INJI SALON,211 S 4TH ST ,YUKON,OK,73099,Pam,1676.82
INSIDE-OUT,1204 E MAIN,WEATHERFORD,OK,73096,Pam,718.34
J & COMPANY,7716 N MAY AVE,OKLAHOMA CITY,OK,73116,Pam,1440.05
J KARL SALON,9040 S WESTERN AVE,OKLAHOMA CITY,OK,73139,Vicki,0
JACHE JE'S SALON SPA,115 W MAIN,ADA,OK,74820,Vicki,0
JANICE SCHORNICK,1212 W CEDAR AVE,DUNCAN,OK,73533,Vicki,0
JASMINE HAIR SALON,7000 CROSSROADS BLVD,OKLAHOMA CITY,OK,73149,Vicki,0
JAVON'S STYLE SHOP,8014 N WESTERN,OKLAHOMA CITY,OK,73114,Pam,19.78
JB'S 2 BARBER & HAIR SALON,5801 W BRITTON RD,OKLAHOMA CITY,OK,73132,Pam,22.55
JC PENNEY-SHOP@MOORE,2400 S SERVICE RD,MOORE,OK,73160,Vicki,42.8
JC'S FUNKY HAIR RANCH,22 E 3RD,EDMOND,OK,73034,Michael,16551.25
JEFF JOHNSON HAIR DESI,536 SW 54TH ST,OKLAHOMA CITY,OK,73109,Pam,0
JENNIE'S HAIR & NAILS,5232 N MERIDIAN,OKLAHOMA CITY,OK,73112,Michael,39.18
JENNIFER MEYER,11001 DAVIS ST,OKLAHOMA CITY,OK,73162,Pam,0
JENNY RUSH'S SALON,9440 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,2756.92
JERRI'S CUSTOM CUTS,1212 CORNWELL,YUKON,OK,73099,Pam,22.55
JON RIC INTERNATIONAL MEDSPA,1229 E 33RD ST,EDMOND,OK,73013,Michael,2142.42
JORGIE LUSTY,3517 MARSTEN CIR,OKLAHOMA CITY,OK,73120,Michael,350.96
JOSORA,8825 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,1054.77
JOY'S HAIR FASHIONS,2104 N KICKAPOO,SHAWNEE,OK,74801,Vicki,0
JUDITH HEFFLEY,82 W MIMOSA RD,STILER,OK,74462,Vicki,0
JUDY'S FAMILY HAIR,1181 E 2ND ST,EDMOND,OK,73034,Michael,6724.5
JULIANA VOTH,302 1ST ST,KREMLIN,OK,73752,Michael,1446.24
JULIANNA BAYLESS,4407 N WHEELER,BETHANY,OK,73008,Michael,33.11
KARMA SALON & BOUTIQUE,1615 S MUSTANG RD,YUKON,OK,73099,Pam,3124.58
KAROL SALON,1021 SW 51 ST,OKLAHOMA CITY,OK,73109,Pam,0
KARV SALON,14513 N SANTA FE,EDMOND,OK,73013,Michael,8038.09
KASI'S CUT & KOLOR,4601 NW 23RD ST ,OKLAHOMA CITY,OK,73127,Michael,152.14
KASI'S CUT N KOLOR,4601 NW 23RD ST ,OKLAHOMA CITY,OK,73127,Michael,127.44
KATHY MORGAN SKIN CARE,6051 N BROOKLINE ,OKLAHOMA CITY,OK,73112,Pam,83.55
KATHY O & FRIENDS SALON,1002 W MAPLE,ENID,OK,73701,Michael,4509.56
KATHY'S,6601 N DOBBS RD,HARRAH,OK,73045,Michael,0
KB SALON,110 S 4TH ST,YUKON,OK,73099,Pam,93.97
KELLY PEARCE,1512 MEADOW LN DR,ARDMORE,OK,73401,Pam,1666.39
KELLY PRITCHARD,9624 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,1217.99
KHOA & COMPANY,211 N PERKINS ,STILLWATER,OK,74075,Michael,0
KIMI Q'S,130 NW 13TH,OKLAHOMA CITY,OK,73103,Pam,1421.16
KINGS,1127 SE 44TH,OKLAHOMA CITY,OK,73129,Pam,0
KIT KUTZ  LLC,3511 NORTH CLASSEN BLVD,OKLAHOMA CITY,OK,73118,Pam,448.54
KLASS CREATIONS,927 N FLOOD ,NORMAN,OK,73069,Vicki,41.28
KLASSIC KUTZ,633 N MUSTANG RD,MUSTANG,OK,73064,Pam,1879.64
KLIP IT UP,514 S WASHINGTON,STILLWATER,OK,74074,Michael,3403.62
KNOCK OUT,6401 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,0
KNOCKOUTS HAIRCUTS FOR MEN,6401 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Pam,0
KRYSTAL'S,1217 W LONDON,EL RENO,OK,73036,Pam,0
KUT UPS,530 SW 4TH,MOORE,OK,73160,Vicki,666.76
KUTTIN UP,514 E JOHN WAY,MORRISON,OK,73061,Michael,0
KUTTING EDGE,105 S SOONER RD,DEL CITY,OK,73110,Vicki,179.49
KUTZ & CO,7634 N WESTERN,OKLAHOMA CITY,OK,73116,Pam,62.9
KWIK-CUTS,123 SE 4TH ,MOORE,OK,73160,Vicki,0
KYM & COMPANY,314 E 10TH ST,ADA,OK,74820,Vicki,5156.9
L & E SALON,2303 S I-35 FRONTAGE RD,MOORE,OK,73160,Vicki,1913.79
LA BELLA SALON,1701 AIRPORT DR,SHAWNEE,OK,74804,Vicki,505.26
LA BELLE SALON,907 NW 23RD ST,OKLAHOMA CITY,OK,73106,Michael,0
LA CARIBE SALON,2903 NW 36TH ,OKLAHOMA CITY,OK,73112,Michael,0
LA DAI'S BEAUTY MECCA,15013 BRISTOL PARK BLVD,EDMOND,OK,73013,Michael,45.54
LA FLEUR,2501 W MEMORIAL RD,OKLAHOMA CITY,OK,73134,Pam,0
LA RITZ,115 W MCELORY RD,STILLWATER,OK,74075,Michael,0
LADAI'S BEAUTY MECCA,15013 BRISTOL PARK BLVD,EDMOND,OK,73013,Michael,288.43
LAINEY'S BEAUTIQUE,913 SOUTH MAIN ST  ,STILLWATER,OK,74074,Michael,1352.79
LAKESIDE BARBER SHOP,7513 N MAY,OKLAHOMA CITY,OK,73116,Pam,0
LALO'S,3105 S WESTERN,OKLAHOMA CITY,OK,73129,Pam,139.49
LANKFORD & LANKFORD,4301 NW 63RD ,OKLAHOMA CITY,OK,73116,Michael,8490.91
LE FRINGE SALON & SPA,10 NE 10TH ST,OKLAHOMA CITY,OK,73104,Michael,645.92
LE FRINGE SALON & SPA,10 NE 10TH ST,OKLAHOMA CITY,OK,73104,Vicki,1097.26
LEGENDS HAIR STUDIO,1014 N VAN BUREN,ENID,OK,73703,Michael,3334.55
LEIGH AND CO,4400 MIDWAY,NORMAN,OK,73072,Vicki,126.55
LEVEL 7,1331 S WESTERN,STILLWATER,OK,74074,Michael,262.5
LEVEL 7 SALON,357 E MAIN,YUKON,OK,73099,Pam,762.27
LIFESTYLES,6060 S WESTERN,OKLAHOMA CITY,OK,73139,Pam,0
LILAC STUDIO,3325 FRENCH PARK DR ,EDMOND,OK,73034,Pam,2618.71
LINDA LEA'S CLIP JOINT,2805 S DIVISION,GUTHRIE,OK,73044,Michael,1198.84
LINDA'S HAIR DESIGNS,804 POLK,PIEDMONT,OK,73078,Pam,286.51
LINDA'S HAIR STYLE,900 SE 14TH,MOORE,OK,73160,Vicki,37.57
